prompt,completion
"Because u want to use generative models, and every generating model hallicianates",Lol
They ruined gems for me,shared ^ first go through it and see what can be trimmed ^ its too long now ^ almost 1500 words ^ lol
Did u write sop ^ Let me check on grammarly,ok
No i won't trim ^ U do that,arey no.. ^ some guidance ^ on what can be trimmed and what actually has impact ^ not asking to edit yourself ^ suggestions ^ go through it first ^ I want a good conclusion ^ and tell me the freelancing website that you used ^ hey.. i am busy till 3. You can paste the corrected letter below ^ we can discuss in the evening after your office
Else u will be like ^ U removed major part,cool thanks
Okie ^ Sounds good ^ Done ^ And my laptop is totally fucked up,will have a look
Don't know,? ^ what happened?
What happened,hmm
It's getting freezed ^ Again and again,hmm
I also ran bleach bit ^ No effect,awww
I think it's time to say goodbye,or linux
And copy all the data,yes we can
Can we copy all the data,i have hardrive
Ok,i hope nothing is in c drive apart from applications ^ budget? ^ i can suggest some
Cool ^ Will also look for a new laptop ^ Online,hmm ^ cool you can get good ones
50 to 60k,do you want a high power graphics? ^ nooo... you are going to move soon
Do u want more ^ Shall we get a pc,so dont ^ then 50-60k can get you a mac level laptop these days ^ my laptop is just 40k
Mostly Google colab does my job,and it runs like a dream
Shal we get mac ^ Itself,you already have a mac no
Ohh,it has
No graphics ^ But,APU
Ohh ok,arey
No ^ I want gpu,this gpu is better than any dedicated gpu
May be not right away,its an integrated AMD Radeon Vega ^ we will discuss ^ hey if you make microsoft account ^ i can share my 1 tb with you ^ by adding as family member
But need to start dumping on gpu,ok. check if its working. I will add you then
I have a Microsoft account i guess,aww
Nothing is working ^ Akshay,hmm ^ lets backup everything today then ^ you can actually buy the new laptop ^ and exchange this on cashify ^ after backup ^ you can see how much you get back with this
I can not do anything,Copy it to the root folder ^ Come on rustdesk.
 ^ I have acquired the private key ^ Now now do I run the command,I have meeting starting in 10 minutes
I am afraid,Ok ^ Works ^ Investement call with Haldirams ^ if they dont invest gonna boycott haldirams
My system will collapse again ^ Will do in evening ^ Ok?,lol ^ if they invest.. will ask them
Wow ^ Will they give tasty nuts ^ For free,they dont
😍 ^ Why do they need ^ Composites,just portfolio
Ohh,diversification ^ yes
Diversified,same minds think alike
Ok ^ Lol ^ I was writing ^ Diversified portfolio,yes
U wrote portfolio diversification ^ They have a finance ^ Team,investment wing
Nice,nope
Sirf bhujia Sev nahi bechte ^ Sahi hai,hi.. 7:30 ish?
Aissa hi hona chahiye ^ When are u coming here ^ ⌚,what all do we have to do? ^ laptop backup
U will reach ^ Cool,and sop
Sop,but i dont have the hard disk now ^ will setup onedrive
Laptop backup ^ Education license ^ 3 things,and backup there ^ you can do the hardrive backup later
Ok leave that right now,and also choose laptop ^ 4 things ^ lets not get distracted and finish these 4 things before we do hanky panky stuff
Hmm ^ Ok,no ^ just kidding
Lol ^ U seriously want to do it with a sick woman,but i wouldnt mind some cuddling
U will get sick ^ Too,lol ^ good for you ^ disney princess
"[{'type': 'link', 'text': 'https://youtu.be/L0MK7qz13bU'}]",👍🏻 ^ have you seen these movies?
"[{'type': 'link', 'text': 'https://youtu.be/kRXmAIHYQR4'}]",ohh ^ i havent
obviously ^ but movie wise,havent watched that too ^ nope
brave is the best ^ u haven't watched brave,i dont remeber when i watched an animated movie last ^ i remember coco
damn ^ best disney princess,hmm ^ merida was in this?
"[{'type': 'link', 'text': 'https://www.youtube.com/watch?v=NvR9YOpDG4A&t=1s'}]","you look better than her ^ i need to write a 500 words thesis for eth zurich scholarship ^ if i get it, they cover the full living expense also ^ thesis pre-proposal"
yep,I am technically qualified for it ^ from gre scores and gpa
Okie,lol
Great ^ Congratulations,how do i write thesis ^ will need your help in that
🎉,to find a topi
We will discuss it,topic
Topi ^ I don't make topo,lol
Topi,🎓 ^ Topi ^ 🎩
Main dusro ko topi nahi pehnati,We switched off yestersay also no ^ Holy fuck . I dont qualify ^  ^ They need fucking a grade ^ And bit mesra start A at 80 ^ I am 79.6 ^ Other colleges A starts at 75 ^ I will apply anyway ^ They might have some pity ^ I want to cry now
Lol ^ I think the problem was my mouse ^ Since I have switched it off ^ It's working fine,For scholarship only ^ Not for admission
What ^ Yup,This is unfair ^ Decimals are evil
I know ^ But i thinm ^ Think,I hate them
A is anything above 60,i need a shoulder to cry on ^ whats this then ^ Even tu delft is asking 80% ^  ^ 0.04 marks can spoil your future
No ^ U have ur degree right ^ It says ^ Distinction ^ Distinction means it's A,I have 7.96 ^ So b+
It's rounded only ^ Where do u see decimals,Its B+
U have 7 and above ^ So first class with distinction,I am showing this no ^ Its behind the transcript ^ This doesnt matter
It's A,Thats why i am even taking effort ^ Hoping that they will
Arey ^ U overthinking ^ I know most of the university ^ Round up ^ Decimals,But i dont expect to get anything
Yep,Lol ^ Considering my luck ^ Nope
Mera aashirwad tumhare saath hai ^ It will happen,I am leaving
No body car s about stupid 0.04 points ^ Hmmm ^ If i had i would have given u ^ Some,Lol
Don't say the world ^ Mars,I am coming to my world
Is a bad place ^ U must be like,Too cheesy?
Eeee gola par nahi rehna ^ Awww ^ Pk reference,Its ok. Health first ^ Can you ask your mom address ^ Of the wedding hall to put ^ In invite ^  ^  ^ for reception and weddng ^ is it fine?
Nope ^ Cute ^ I don't think we can have our beer plans ^ Sorry i spoil every plan,its ok
Yep ^ Mummy se confirm je lo,this is fine for now
Arey,send me that kiss photo na ^ i lost it
Common group hai na,pondicherry ^ yes
Which one ^ Pondicherry,lol ^ no ^ just trying something
Ok ^ Parents ko dikhaoge,whattt ^ you lost it tooooooo ^ ohhhh nooo
 ^ Didn't find that ^ But found this,quite a sight to see you wearing colors
Not lost ^ Not able to find it where it is,you sent something? ^ yeee got it ^ 
Lol ^ Check ur email ^ Saturnian miracle,no ^ aise hi ^ but ya ^ we can use for friends also ^ what say?
This is for ^ Friends,lol
The date is already expired,should i make a proper one? ^ with this pic
Hmm,for my friends i can share ^ i dont mind
Don't know depends on with whom we are sharing,ok i will make and send
Hmm,your choice ^ which you want to use ^ for friends also you want to make 2 right? ^ how is it?
Ok,canva ^ 
It's good ^ What's the template ^ U using,?
Isn't there are some colours,hmm ok
Like this one,
Bright,lol
Yeh mere eyes mai chaaku kaun maar raha hai ^ Are they pointing fingers on us ^ Cute,wait ^ i am making one more
Toh hai,lol ^ our previous birth ^  ^ which one is better?
Who is koriana ^ And richard,cool
Very cool ^ Just akshay and sonam ^ Is good ^ They know us,lol my face is not clear too ^ 
But i my face is not clear ^ In this ^ Anyways doesn't matter ^ Going to known people,What? ^ It must have fallen down
Nice ^ MacBooks are so bad ^ Going to sleep ^ Couldn't create licence ^ Morning ^ Babe ^ Someone took away my money plant??????,One more murder
Yeah ^ It was there yesterday ^ It's not,Ya. Came back at 9
Now ^ Sup ^ Cycling ^ I sent u morning ^ No replies,Wind
It does not have legs,Monkey
It was heavy ^ Wind can't blow it away,Aww
Hmmm ^ Pigeon ^ Could be one answer ^ My money plant ☘️, ^ Madr this
Will have to buy again ^ Sorry,Lol ^ Made ^ Btw banks close at 12
Madr? ^ Did u pick the word from pysch,I can come around 11
Damn ^ Thank you for reminding me ^ I m so dumb ^ Going ^ But maid has to clean everything,Whats our plan?
It will be late no ^ By then,Cycle and all
I don't have a plan ^ Asking maid to come late,No ^ Finish it
Yep,Yes
Ok ^ Ok ^ Asking her to come now,I will come at 11 ^ We will reach by 11:20
Go to hdfc ^ Come back ^ Then go out,Yes
Hdfc ^ Shollinganur??,Yes ^ Then brunch?
Ok,On the way
Sure ^ U should leave now ^ Maid and i are done,Ya. Its foggy ^ my gre score came ^ 4.5 out of 6 in awa ^ its good
Good night ^ Love you ^ Glitch in the matrix,lol
Wow ^ Congratulations ^ 🎉 ^ Party,Lol ^ It doesnt hangout with these guys ^ Its on another planet ^ Video is itself 7 mins
First 10 mins is me... And python is still genz ^ U must be feeling bad as they didn't cover rust ^ U make one for rust,Okk ^  ^ Ordered these shoes
Lol... Secs,Resort? ^ Yes
Cool ^ U also going,Ohh
Ya ur mom called me ^ To get ready,I was sleeping
Ok ^ Message me when leaving,No no ^ Will leave
Sorry ^ Take ur time,Ok ^ Whats up?
No take ur time ^ I need time,Ohh
Filling up form ^ For credit card,Ohh.. so you dont wanna come? Its fine ^ We are leaving
I have some woek ^ Before alex returns ^ I thought i will complete it on weekend,Aww ^ Cute
 ^ Cut toh pata bhi nahi chal raha,It will be difficult to stop them ^ But yes ^ I dont see why not ^ But whats the use case
Can a chatbot talk with another chatbot ^ To retrieve info,Example?
Suppose the bot is not trained on certain dats ^ It can ask about info from other bots,Hmm ^ Going to sleep ^ Good night
biomedical bot to general bot,Love you ^ Whats up?
Love you ^ ?? ^ Kyun nahi bolte mujhe 🥺🥺,So late
Day bt day we becoming more like married couples ^ Going to sleep,Ok
Yep ^ Videos presentation,Not worth ^ You wont get good
Can u send me ^ Monitor ^ Under 10k ^ Tomorrow,Chalo bye
I don't feel like buying anything ^ Ok,About?
Soo jao ^ U must be really happy ^ Love you too,Hmm
Scores and stuffs ^ Anyways,For?
U can come to my home ^ Tomorrow,Lol ^ Ok
Time pas,Hmm
Day by day we becoming like married couples ^ With family and all,Ok
And less of gf bf ^ So will spend some time ^ What??,No
U mad at me ^ Fir something,You didnt even ask
Ok,What i was doing this late ^ Atleast i did
I did dandruff spa,Ok
Ohh i assumed ^ Work,Thats behaving like married couple ^ I dont ^ You do
Related ^ Ssup ^ So late at night,Lol ^ No ^ Was filling all application forms ^ And keeping
Already done with part 1 ^ Of ^ Model ^ Stable diffusion,And the scholarship form
Ohhh nice,No its fine
Let me know,Dont need ^ Now
If u need help,You should sleep ^ Good night
U needed ^ ??,No
U needed help,I didn't need
U should have asked ^ Once,Ok fine
I didn't know u going to fill now ^ Itself ^ I thought after toffle,I didnt need any help ^ I can ask if i need
Scores,Its just that you dont really care
Cool... That's my boy ^ Friend,No
Arey ^ I do ^ I told u ^ I assumed u will fill it,I mean you dont care what i was doing
After tofle,Nahh its ok ^ You dont have to do stuff for me
Ohhh!!! ^ I think i should stop assuming ^ Things ^ To myself ^ And start asking,You can assume ^ If thats less work for you ^ Than asking ^ I am tired
Arey yaar ^ Obviously i have to,Going to sleep
Will u stop,Not mad
Why are u mad at me ^ Again,Just disappointed
Ok sleep ^ Good night,Love you too ^ The earlier sonam used to ask ^ New sonam doesnt
Love you,About what i am doing
What??,I am not doing in that
I was watching ur shared doc only ^ Told u,No
U know what happened,Lol
U have answered it working ^ Sooo many times,Thats your answer
That i totally assume,Heh ^ I always tell
U working ^ And u never told me ^ What u working on,Unless in office ^ What happened? ^ Morning
So ultimately it's ur mistake ^ Bye.,
Morning,"[{'type': 'link', 'text': 'https://www.youtube.com/watch?v=nsw3pCuA_9s'}]"
Very nice, ^ I sent this
awwwww,To close friends ^ Green one on the groups ^ Non close friends ^ 
not the green one,
cute,You didnt get?
Hehe,"Horses live in ""Stable"""
Stable,So morse code
Yep,Horse code
Get after commentint,Yeah
Yep ^ Tube light ^ Ban gayi,It was a hard one
License ka chakr,Hmm ^ Still no luck?
Babu bahiya ^ License ka chakr,Operating system
It's tough to understand ^ What's the problem ^ Do i not have authentication,Whats the error now on mac
To download ^ It's not cloning,Ohh
Or downloading ^ On my mac,There must be some other way to do on mac
Authentication,I have an idea
,Will put pop os on a pendrive and bring ^ I am comfortable with linux ^ More than mac ^ We can use one pendrive itself ^ No need to install ^ How does that sound
I messaged someone waiting for there reply,Why?
I don't think ^ It's a good idea ^ U can take my GitHub,Arey.. will format the pendrive after use
And login ^ From linux ^ Not on pendrive ^ Because it's private,Or will use incognito ^ Dont have to copy anything
Copying isn't allowed,I will download through your github account only
Yep ^ That's better,On that operating systen ^ Do you have a pendrive? ^ Mine is only 4 gb
Yes,Ok ^ Will manage
Hmmm ^ Nope don't even remember when i last saw my pendrive,I will buy one ^ Its 300 only
It was hp silver colour ^ And the check thint,Scooter we will shift to office in evening ^ Around 7 ^ You can let uncle know
Hardly took ^ 2 mins ^ Of work,Bomb? ^ Why?
Ohh but how ^ U don't have the keys ^ Did u just throw a bomb in ur group,No
Acchanak se ^ Birthday wishes par,They already knew
Save the date ^ Anyways,its good no. Getting out of the comfort zone
Ohhlk ^ I have to interact with more people now ^ Through utube ^ And all ^ Damn ^ This job is tough for an introvert ^ Especially ^ Brace urself,lol ^ i will just put earphones ^ and listen to some metallica ^ you can have one earphone ^ we will share ^ uncle has no
For wedding and reception ^ 300 plus ^ 300 ^ It would be miracle if we survived both,? ^ both?
 ^ US after surviving botg ^ Both event,oh us ^ i though USA
Here to tell u a survival story,lol ^  ^ its very scary if you look carefully
Lol ^ Nope ^ us,that girls hand
Lol ^ Yes,ya
Yes ^ Why such things are coming ^ Noise,maybe a horse ^ was there ^ in the data ^ arey i told no ^ it doesnt render text
Also what's the language,they have prohibited ^ copyright issues
Hmm,lol ^ first case was filed last month ^ on stabilityai ^ for copyright
Kuch toh gardbad hai nirdaya,arey wait ^ i am callimg
Ohh,the documents required for this will be different ^ so keep them ready well befor hand ^ there is some degree verification and all
Visa appointment ^ Is so bad,For you only
 ^ Taking premium lounge ^ For us,I wont be allowed
Yes,Is chennai there ^ In the list
For me ^ Ohh,K ^ I will use it for my student visa
Yes ^ First one,In a meeting
Cool ^ We both are premiums ^ There are only two days left ^ Did u finish all your application forms? ^ I can help if you need it. ^ Aww nice photograph,Hi ^ Meeting just got over ^ Ya . If you are free
Ok ^ Are u coming here,Yes.. mostly done
Ok ^ This,I have made drafts
Ok,Just to make sure the application portal is not asking for anything extra
Just show me once ^ All of them ^ When u r here,Scholarship form is done
Ok,No ^ Not yet ^ Worried about that only
Nice ^ U got tofl score ^ Too,Around 7:30 ish ^ Uff...ok mam.
Ok ^ See u then,you being like a teacher arouses me ^ bas specs aur haath mein danda nahi hai ^ He is on another level
Lol,Photo from Akshay ^ Photo from Akshay
"[{'type': 'link', 'text': 'https://youtube.com/shorts/lIdOfcvmUmE?feature=share'}]",Photo from Akshay ^ Trying to hack the world bank
Cute,No ^ 
Awww ^ U might have succeeded ^ That puppy looks real,
So many cars ^ We also had too many cars,Lol
Wish we could kept all those ^ And sold to hamley,We can sell mine
We would habe been rich, ^  ^  ^ Cycling bug ^ Started here
So happy,Lol
U can literally count number of teeths ^ In that pic,Lol ^  ^ Evolution of my transport
I love ur hat,
Lol,And music ^ Albums
How did u get all these pics,
U found yesterday,And sports ^ No. Mom took ^ Your mom had asked
After going from here,Ya ^ They are going to make a montage
Ohhh ^ My mom is after our pics,Of us growing up
My mom's can only talk about wedding,
Nothing else,Lol
From here u get power ^ In ur eyes,
Quite early age,Lol ^ Toefl score came ^ 
Ur face is in shape ^ Already,Thanks ^ 100 is required
Nice ^ Congratulations,which link? ^ areyyy yaar... the pdf report only comes after 2 days
Cool 😎 ^ Now toh party Deni hogi ^ Acchi jagah ^ And can u send me the link again,
ohh,?
u can ask,ohh... i dont want them now
u can mail them ^ the link of books that u wanted ^ series ^ u remember,i am liking biographies more now ^ than fiction
why,nothing in mind right now
ohhkk ^ which biography u wnat to buy,hmm
"anyways... u first mail toefl people or the university, ^ u can do one thing ^ u can download this as a pdf and attach that for a while ^ till u can download",deadline is 1st december ^ 23:59 CET
u can tell them later that it was a mistake from your part,for us its 4:30 am on 2nd december
ohh ^ u will get it on that day only,lol
cool ^ will keep u awake,aww ^ 
jagte raho ^ it was very close ^ but u did it ^ proud of u,i lost a lot in speaking ^ that was bad ^ min requirement for each section is 22
Awww,Ya ^ I got nervous i guess
Damn it was almost 22,phew.. not a competition
May be it was because of noise,yes ^ pdf report came
He is a us candidate,lol ^ i will apply today itself so that i can start working on the real deal ^ eth zurich
Wow ^ U r on a roll ^ Today,still paining? ^ ohh ^ i have practo
Ok ^ Yaar i have to go to the doctor ^ Regarding this cramps,membership
It could be something big ^ As well,you can use it too
Not today,you can do online consultation
May be later,sure ^ let me know
Saturday and Sunday ^ I will do ^ Everytime,awwww ^ pikachu
I am so scared ^ When this time comes,last time was better no
Because i know i have to go through hell,ok baby ^ take care ^ let me know if you need anything
It's not funny ^ Nope ^ Bye ^ I need to rest,arey yaar. sorry
That's why i was only asking u to cuddle ^ But no....,its weird to see that my future depends on a small blue submit button ^ 
U got mad,lol
Submit submit,i am scared ^ i made the payment also ^ 100 euros
Hi did u login in the git yesterday for rasax to work,what if they dont accept me ^ lol
Why,no ^ wasnt required
U will get scholarship,that is secondary... i am scared if they will even give admisssion
Just downloaded ^ Installed rasa,no i didnt install ^ lol
 ^ Kuch bhi,😝
Inchote kandho par itna bojh, ^ This was my mom ^ And dad came to rescue
😰,Yaa ^ I used to get nail marks ^ All over me
Lol ^ Seriously,No ^ Chappal was too expensive ^ To b spent on me
Awwww ^ My baby ^ Not hit by chappal,?
My mother's words to do the work,Ohh
They were same as being beaten up,Lol
Maat padho ^ Fail ho jao ^ Shaadi karwa denge ^ Kisi gaon main,Aww
I fear shaadi so much ^ *used to ^ I didn't used to go to any shaadi,lol ^ glue ourselves to the ground
Protest against shaadi ^ Keep all the windows closed ^ On our wedding day,lol ^ ok ^ i will have my car parked outside ^ just in case ^ like 3 idiots ^ can we work on the stable diffusion thesis this saturday? ^ it will be good opportunity actually start work on it as well
"If i ran out , u will come along with me ^ We will run together",No idea. Let me check with dad ^ It bounced ^ No sufficient fund
Sure ^  ^ What's inproper zone,In the debit account
But why ^ Wtf,No ^ Whoever gave the cheque ^ That account
My account??,Nope
It's not because of the ^ Icici branch right,Could be this also ^ But i doubt ^ Is it SBI cheque
What's wrong 😭😭,"hi, i want to send the application with you. Can you spare 1 hour for me today if possible. I wont stay longer. Will submit and leave ^ just go through everything once"
Hmm ^ Ok ^ That motherfucker govt employe ^ Didn't tell my father things correctly... Because he is such a pain in the ass ^ But still he should have told thinfs,In meeting ^ 5 mins
Awww ^ Sure baby ^ Why are u cutting my calls ^ Hi,"[{'type': 'link', 'text': 'https://europa.eu/europass/en'}]"
I called u so many times ^ Ok,yes
For cvs,pithla ^ the thing that you tried that day ^ made with besan
Thanks ^ What did u have for dinner,no
Coriander,the one you said is like kadhi
Ohh,yes
Curry ^ Ya ^ Kadhi,hmm ^ have some work ^ will sleep after that
Good ^ Soo jao ab,"[{'type': 'link', 'text': 'https://www.youtube.com/watch?v=jERekF-dDSc'}]"
Ok,Ok ^ But nearby decathlon is not good
Ok let's go to nearby decathlon,No ^ Decathlon only ^ But Perungudi one ^ We can try nearby but i dont have much hope
Send me the link in Amazon,Arey yaar ^ My dads friend daughter
Hmmm,"8.5 cgpa, 331 gre, 111 toefl"
Now what,Didnt get tu delft ^ But got cmu
Happi,Hmm ^ Thats what dad is saying ^ She was fresher ^ And she was applying for CS ^ Thats highly competitive ^ Chalo. Going to sleep ^ Night ^ Love you😘
Ohh ^ But she wasn't CPO,Yes.. ^ Python was made there ^ I think ^ Yup.. it was made there
It has computer science ^ Good night ^ Love you too,morning ^ sure.. will let you know
Sexy ^ Good morning ^ When would u like to go to decathlon ^ Let me know,office
where are u,hmm ^ you have to come here ^ i will have office
u reached office ^ saturday we can go to perungudi ^ i guess it will be better,ok
sure ^ i will take bus,lol
how can i miss my munchi's birthday gift,lol ^ it is ^ we dont have to wear underwear underneath ^ its more effective without underwear
i am giving you kaccha ^ even if it is kaccha,ohh 3rd is saturday ^ i thought its sunday
ohh damn',when do we do the thesis work then?
ohhkk,saturday i don thiink we will have time ^ sunday?
don't know,which demo?
u actually have to start working ^ on that ^ demo,no just a proposal ^ i will send you wait ^ the guidelines ^ 
or a proposal,"Nice ^ Lol ^ Not right for the occasion ^ I made this collaborative playlist ^ You can add interesting videos here so we both can watch ^ If needed we can make different categories - comedy, technology etc"
cool will check ^ This is a fast song ^ We can dance in this 🤣🤣 ^ Damn the asthetics ^ It's assthetics,I know
Awww ^ U r cho smart,They already launched long back ^ Why they having event now ^ That podcast i shared was also good
"[{'type': 'link', 'text': 'https://youtu.be/TaVnETAPIBk'}]",Lol
Damn ^ That's why Elon used paper ^ It was funny... Sexy birdy ^  ^ I am addicted to ur childhood photos ^ Sorry couldn't take my eyes off them,Aww
I miss you,Hmmm.. i left early
Why didn't u come today ^ To meet me ^ Saturday free??,And didnt want to disturb
Ohhkk ^ Because of sickness,No
?? ^ Are u sick,Ya ya
Ok ^ But please for the love of God ^ Go to doctor,I was looking on practo today
Ur cough isn't stopping ^ We went ^ That day,Hmm ^ Ok
It's on the way only ^ Astra was good no,Thats why
I can come with u ^ For support ^ Seriously that day u should have also taken appointment ^ She was a doctor with a good handwriting,I didnt ask
That's it,Hmm
I get that ^ But more than 5 months ^ It can even become tb ^ U know that,Love you too ^ this is funny
Cough should be treated ^ In proper time ^ Sleep let's go to doctor ^ Tomorrow ^ No more stress ^ Good night ^ Love you,yes
Ur cycle lanes,lol ^ makhmali lanes
Tum toh pagal hi ho jaoge ^ Late jaoge,this is also nice
Wahan par ^ Bichare ne toh bas trolley chalaya tha,lol
Knuckle,no idea ^ knuckle pork ^ cooking ke extra charge lete hai ^ i like this song
Kya hota hai,awww ^ did the periods start?
Morning ^ I woke up now ^ Had a lot of pain,ok
Yes ^ Yesterday itself,lol ^ not for dancing
Breaking my body ^ U can not dance,take care babe ^ let me know if you need anything
Ohh ok,"meds, cadbury"
Awww,hmm
Just my electric heating pad,awww
I will be lying on my bed ^ Whole day,you should consult a doctor
Seriously i don't get it ^ It's becoming worse ^ Anyways u go to doctor,you can use my practo
Today ok??,i was talking to abhishek on twitter ^ he had message me
Later ^ Not today,product placement ^ i had tweeted something about credit card
Lol ^ What did he say,so he sent link to his company product ^ and congratulated me
Hain,its a database ^ like heroku sort of
Hain ^ Ohhh yugabite ^ What's the product,lol ^ no\ ^ the comments are funny
Ohhkk ^ Yes yes ^ We are going to Germany, ^ i am not ^ you are ^ i am going to switzerland ^ 
Stop making me excited about it ^ We. Need to learn German,yes ^ not readable
Damn ^ Our honeymoon spot ^ U will just see couples making out ^ Lol ^ Is it what i am thinking ^  ^ I almost did it yesterday butt when i am installing the package using make install ^ It's throwing ssl error,lol
Damn ^  ^ My booboo kicking some asses ^ On the internet,issue on rasa side
 ^ It hasn't still authenticated my git,i think ^ their server is not able to create the license
I guess,why are they not able to helo ^ *help
Hmmm,it should be something that they do regularly
No idea,who has been doing this till now
Exactly,or they have not sold even a single rasax license till now
Alex doesn't keep a track ^ If they are or not,then ^ they should know to do this
They have,i mean because they havent made any license till now they are not able to do this ^ should be routine work for them ^ otherwise
These guys are not salesman ^ I don't know their post,then who makes licenses normally
They are not the tech guys ^ Whome i m talking to,they can make this for you too right ^ why do you have to make
I need someone to solve,so?
